000028,000000,Struct,recno:Integer,Area_ID:Integer,Area:String,Full_Charge:Integer,High_Charge:Integer,Reduced_Charge:Integer
1,1,CBDCore,2700,3600,900
2,2,CBDNonCore,2250,3000,750
3,3,CBDFrame,1800,2400,600
4,4,NorthSydney,1800,2400,600
5,5,Parramatta,1800,2400,600
6,6,Liverpool,750,1200,265
7,7,MacquarieUni,1050,1050,0
8,8,UniNSW,1050,1050,0
9,9,UniWS,1050,1050,0
10,10,SydUni,2700,3600,0
11,11,UTS,2700,3600,0
12,12,Chatswood,1500,2100,525
13,13,Blacktown,1500,2100,525
14,14,Penrith,1050,1500,375
15,15,Cabramatta,1500,2100,525
16,16,Fairfield,1500,2100,525
17,17,Lidcombe,1500,2100,525
18,18,Strathfield,1800,2400,375
19,19,Burwood,1050,1500,375
20,20,Ashfield,525,900,225
21,21,Epping,1500,2100,525
22,22,Eastwood,1050,1500,375
23,23,WestRyde,1050,1500,375
24,24,Gosford,1050,1500,375
25,25,Hornsby,1500,2100,525
26,26,StLeonards,1500,2100,525
27,27,Hurstville,1500,2100,525
28,28,Bankstown,525,900,225
