000108,000000,Struct,recno:Integer,Seg_ID:Integer,FromArea:String,ToArea:String,AM_P_to_A_Fact:Float,AM1_P_to_A_Fact:Float,MD_P_to_A_Fact:Float,PM_P_to_A_Fact:Float,AM_A_to_P_Fact:Float,AM1_A_to_P_Fact:Float,MD_A_to_P_Fact:Float,PM_A_to_P_Fact:Float
55,49,Default,Default,0.127,0.0635,0.361,0.012,0.005,0.0025,0.427,0.068
56,38,Default,Default,0.0623,0.0623,0.404,0.0337,0.0623,0.0623,0.404,0.0337
57,27,Default,Default,0.049,0.0278,0.3286,0.0889,0.0227,0.01,0.4104,0.1003
58,16,Default,Default,0.5189,0.3219,0.0157,0.0004,0.0,0.0,0.4449,0.0201
59,5,Default,Default,0.3065,0.1669,0.2082,0.0167,0.0071,0.0037,0.2565,0.205
60,44,Default,Default,0.07,0.035,0.375,0.055,0.07,0.035,0.375,0.055
61,33,Default,Default,0.0361,0.0361,0.4477,0.0162,0.0361,0.0361,0.4477,0.0162
62,22,Default,Default,0.0625,0.0432,0.3419,0.0519,0.0178,0.0114,0.4132,0.1126
63,11,Default,Default,0.4978,0.4243,0.0399,0.0024,0.0007,0.0005,0.3932,0.0661
64,50,Default,Default,0.011,0.0055,0.436,0.053,0.011,0.0055,0.436,0.053
65,39,Default,Default,0.01,0.005,0.41,0.08,0.12,0.06,0.36,0.02
66,28,Default,Default,0.049,0.0278,0.3286,0.0889,0.0227,0.01,0.4104,0.1003
67,17,Default,Default,0.2171,0.1788,0.2623,0.0432,0.002,0.002,0.3546,0.1208
68,6,Default,Default,0.3065,0.1669,0.2082,0.0167,0.0071,0.0037,0.2565,0.205
69,45,Default,Default,0.07,0.035,0.375,0.055,0.07,0.035,0.375,0.055
70,34,Default,Default,0.0119,0.0119,0.5169,0.0753,0.0371,0.0371,0.3537,0.0052
71,23,Default,Default,0.0625,0.0432,0.3419,0.0519,0.0178,0.0114,0.4132,0.1126
72,12,Default,Default,0.4978,0.4243,0.0399,0.0024,0.0007,0.0005,0.3932,0.0661
73,1,Default,Default,0.1561,0.0523,0.3504,0.0151,0.0116,0.0049,0.3239,0.1428
74,51,Default,Default,0.05,0.025,0.4,0.05,0.05,0.025,0.4,0.05
75,40,Default,Default,0.2,0.15,0.29,0.01,0.01,0.0075,0.25,0.24
76,29,Default,Default,0.2067,0.1403,0.2608,0.0594,0.0696,0.0513,0.3071,0.0963
77,18,Default,Default,0.2171,0.1788,0.2623,0.0432,0.002,0.002,0.3546,0.1208
78,7,Default,Default,0.3065,0.1669,0.2082,0.0167,0.0071,0.0037,0.2565,0.205
79,46,Default,Default,0.05,0.025,0.4,0.05,0.05,0.025,0.4,0.05
80,35,Default,Default,0.0065,0.0065,0.4094,0.1116,0.1429,0.1429,0.3225,0.0071
81,24,Default,Default,0.0625,0.0432,0.3419,0.0519,0.0178,0.0114,0.4132,0.1126
82,13,Default,Default,0.5189,0.3219,0.0157,0.0004,0.0,0.0,0.4449,0.0201
83,2,Default,Default,0.1561,0.0523,0.3504,0.0151,0.0116,0.0049,0.3239,0.1428
84,52,Default,Default,0.05,0.025,0.4,0.05,0.05,0.025,0.4,0.05
85,41,Default,Default,0.03,0.015,0.41,0.06,0.08,0.04,0.4,0.02
86,30,Default,Default,0.2067,0.1403,0.2608,0.0594,0.0696,0.0513,0.3071,0.0963
87,19,Default,Default,0.2171,0.1788,0.2623,0.0432,0.002,0.002,0.3546,0.1208
88,8,Default,Default,0.3065,0.1669,0.2082,0.0167,0.0071,0.0037,0.2565,0.205
89,47,Default,Default,0.095,0.0475,0.351,0.054,0.014,0.007,0.378,0.108
