000054,000000,Struct,recno:Integer,Seg_ID:Integer,AM_P_to_A_Fact:Float,MD_P_to_A_Fact:Float,PM_P_to_A_Fact:Float,AM_A_to_P_Fact:Float,MD_A_to_P_Fact:Float,PM_A_to_P_Fact:Float,AM_P_to_A_Fact_CBD:Float,MD_P_to_A_Fact_CBD:Float,PM_P_to_A_Fact_CBD:Float,AM_A_to_P_Fact_CBD:Float,MD_A_to_P_Fact_CBD:Float,PM_A_to_P_Fact_CBD:Float
42,42,0.005,0.47,0.025,0.01,0.45,0.04,0.005,0.47,0.025,0.01,0.45,0.04
43,43,0.005,0.47,0.025,0.02,0.475,0.005,0.005,0.47,0.025,0.02,0.475,0.005
44,44,0.035,0.4375,0.0275,0.035,0.4375,0.0275,0.035,0.4375,0.0275,0.035,0.4375,0.0275
45,45,0.035,0.4375,0.0275,0.035,0.4375,0.0275,0.035,0.4375,0.0275,0.035,0.4375,0.0275
46,46,0.025,0.45,0.025,0.025,0.45,0.025,0.025,0.45,0.025,0.025,0.45,0.025
47,47,0.0475,0.4255,0.027,0.007,0.439,0.054,0.0475,0.4255,0.027,0.007,0.439,0.054
48,48,0.0335,0.455,0.0115,0.005,0.4495,0.0455,0.0335,0.455,0.0115,0.005,0.4495,0.0455
49,49,0.0635,0.4305,0.006,0.0025,0.4635,0.034,0.0635,0.4305,0.006,0.0025,0.4635,0.034
50,50,0.0055,0.468,0.0265,0.0055,0.468,0.0265,0.0055,0.468,0.0265,0.0055,0.468,0.0265
51,51,0.025,0.45,0.025,0.025,0.45,0.025,0.025,0.45,0.025,0.025,0.45,0.025
52,52,0.025,0.45,0.025,0.025,0.45,0.025,0.025,0.45,0.025,0.025,0.45,0.025
53,53,0.01,0.47,0.02,0.01,0.47,0.02,0.01,0.47,0.02,0.01,0.47,0.02
54,54,0.005,0.47,0.025,0.005,0.47,0.025,0.005,0.47,0.025,0.005,0.47,0.025
