RunID,Status,Run description,Metro,Year,Land Use,Road,Rail,Bus,Fares,Frequency,Car,Priority,Period,White Bay,Model,Computer,Iterations,Known issues,Demographic profile,Occupational Profile,Period allocation,Stop specific car access penalties,Stop specific interchange penalties,Global metro penalties
36a,,Fares - integrated rail fares but not other modes,MCWN1,2031,LU3a,R1,Rail C,BCWN,Fa2,24-Dec,C1,36,AM1,WBon,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
37a,,Car Travel - higher car costs (combined),No Metro,2031,LU3a,R1,Rail C,B1,Fa1,24-Dec,C5,37,AM1,WBoff,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
38a,,Car Travel - higher car costs (combined),MCWN1,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C5,38,AM1,WBon,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
39a,Running,Car Travel - higher centres car costs,No Metro,2031,LU3a,R1,Rail C,B1,Fa1,24-Dec,C2,39,AM1,WBoff,Full,Fawcett,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
40a,Queued,Car Travel - higher centres car costs,MCWN1,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C2,40,AM1,WBon,Full,Fawcett,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
41a,,Car Travel - higher petrol prices,No Metro,2031,LU3a,R1,Rail C,B1,Fa1,24-Dec,C3,41,AM1,WBoff,Full,Jacko,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
42a,Running,Car Travel - higher petrol prices,MCWN1,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C3,42,AM1,WBon,Full,Warne,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
43a,,Car Travel - slower travel times,No Metro,2031,LU3a,R1,Rail C,B1,Fa1,24-Dec,C4,43,AM1,WBoff,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
44a,,Car Travel - slower travel times,MCWN1,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C4,44,AM1,WBon,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
45a,Planned,Frequency - higher frequency,MCWN1,2031,LU3a,R1,Rail C,BCWN,Fa1,30-Dec,C1,45,AM1,WBon,assign.,Jacko,NA,,TDC,LGA,CBD/Other,ca2,ss1,mp1
46a,Running,Road Network - No M4 East,No Metro,2031,LU3a,R2,Rail C,B1,Fa1,24-Dec,C1,46,AM1,WBon,Full,Jacko,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
47a,,Land Use - Metro Strategy,No Metro,2031,LU3a,R1,Rail C,B1,Fa1,24-Dec,C1,47,AM1,WBon,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
48a,,Land Use - Economic Base,No Metro,2031,LU3a,R1,Rail C,B1,Fa1,24-Dec,C1,48,AM1,WBon,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
49a,,Metro 1 - Granville PnR,MCWN3,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C1,49,AM1,WBoff,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
50a,Running,Metro 1 - M2 Parkway end,MCWN4,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C1,50,AM1,WBon,Full,PB3,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
51a,,Bus - no integration,MCWN4,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C1,51,AM1,WBoff,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
52a,,Fares - integrated rail fares but not other modes,No Metro,2031,LU3a,R1,Rail C,B1,Fa2,24-Dec,C1,52,AM1,WBon,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
53a,Latest,Reference Case (Rail D),No Metro,2021,LU3a,R1,Rail D,B1,Fa1,22-Dec,C1,15,AM1,WBoff,Full,Rice,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
54a,Latest,Reference Case (Rail D),No Metro,2031,LU3a,R1,Rail D,B1,Fa1,24-Dec,C1,2,AM1,WBoff,Full,Fawcett,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
55a,Latest,Reference Case (Rail D),No Metro,2041,LU3a,R1,Rail D,B1,Fa1,26-Dec,C1,5,AM1,WBoff,Full,Hewitt,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
56a,,Reference Case,No Metro,2031,LU2,R1,Rail D,B1,Fa2,24-Dec,C1,,AM1,WBon,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
57a,,Reference Case,MCWN1,2031,LU2,R1,Rail D,BCWN,Fa2,24-Dec,C1,,AM1,WBon,Full,,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
